train_id,ticker_id,t,momentum,ratio,sm_momentum,sm_ratio,class_label,happens_within,cross_threshold_from_above,cross_threshold_from_below,trending_down_and_above,trending_up_and_below,troughs,peaks
1465,5,2023-04-18,99.479643,98.498442,99.100308,99.55065,,33,0,0,0,2,0,0
1590,1,2023-04-18,99.890955,100.13699,99.445037,99.550143,,158,1,0,0,0,0,0
1175,2,2023-04-18,100.117538,100.240789,99.093673,99.55065,,33,0,0,0,2,0,0
1918,3,2023-04-18,99.38315,100.679643,101.061407,100.047693,,154,0,1,0,0,0,0
1156,6,2023-04-18,100.648464,101.17944,101.212975,100.768567,,3,0,0,0,0,0,0
235,3,2023-04-19,98.658182,100.038083,101.331954,100.268512,,15,0,0,0,0,0,0
66,1,2023-04-19,99.760657,99.987851,99.300026,99.435005,,4,0,0,0,0,0,0
1828,5,2023-04-19,99.54798,98.471582,99.030641,99.441489,,12,0,0,0,0,0,0
202,4,2023-04-20,100.108649,99.846111,100.570696,99.70885,,430,0,2,0,0,0,0
10,5,2023-04-20,99.830396,98.679482,99.25528,99.465237,,212,0,0,0,2,2,0
317,1,2023-04-20,99.83955,100.024372,99.568281,99.502406,,437,0,1,0,1,2,0
105,6,2023-04-20,99.86956,100.542792,100.425617,100.593748,,474,2,0,1,0,0,0
1289,2,2023-04-21,100.000634,100.165952,99.449261,99.494865,,41,0,0,0,2,0,0
62,3,2023-04-24,98.691591,99.414543,101.522113,100.749307,,460,0,0,0,0,0,4
893,6,2023-04-24,98.961709,99.446248,99.576974,100.223683,,2,0,0,0,0,0,0
854,5,2023-04-24,99.943504,98.788542,99.606035,99.521641,,197,0,1,0,1,0,0
79,2,2023-04-24,100.13029,100.301825,99.605685,99.521641,,197,0,1,0,1,0,0
1648,3,2023-04-25,98.186551,98.852382,101.249962,100.752448,,574,1,0,3,0,0,0
783,5,2023-04-25,99.693661,98.518466,99.816895,99.588272,,24,0,0,0,1,0,0
1306,6,2023-04-25,98.775467,99.053947,99.340323,100.075618,,223,1,0,0,0,0,0
445,1,2023-04-25,100.113356,100.247383,100.502726,99.941967,,209,0,1,0,0,0,0
37,2,2023-04-26,100.420907,100.69239,100.164173,99.734393,,166,0,1,0,0,0,0
1929,6,2023-04-26,98.59308,98.631846,99.060777,99.887001,LL,3,0,0,0,0,0,0
1268,1,2023-04-26,100.522622,100.679391,100.876532,100.163349,,7,0,0,0,0,0,0
373,3,2023-04-26,98.214169,98.625382,100.896959,100.693327,,264,1,0,2,0,0,0
559,5,2023-04-26,99.632957,98.398145,100.157667,99.734393,,166,0,1,0,0,0,0
1778,1,2023-04-27,100.639728,100.894081,100.7905,100.199116,HH,204,0,0,0,0,0,2
869,6,2023-04-27,98.600809,98.374808,99.013155,99.784509,,5,0,0,0,0,0,0
1026,4,2023-04-27,99.891046,99.622026,100.615566,100.199499,,15,0,0,2,0,0,0
981,3,2023-04-27,98.051707,98.25986,100.691229,100.673911,,40,0,0,2,0,0,0
830,2,2023-04-27,100.387915,100.737836,100.217256,99.773677,,4,0,0,0,0,0,0
1397,1,2023-04-28,100.652832,101.025796,100.558974,100.158344,,232,0,0,2,0,0,0
692,6,2023-04-28,98.813117,98.332149,99.083765,99.733962,,205,0,0,0,0,2,0
52,3,2023-04-28,97.756776,97.774418,100.300382,100.548281,,274,1,0,1,0,0,0
964,5,2023-04-28,99.587308,98.211484,100.371308,99.868945,,6,0,0,0,0,0,0
85,4,2023-04-28,100.197109,99.835974,100.280586,100.094467,,259,1,0,1,0,0,0
762,4,2023-05-01,100.238586,99.893827,100.062326,100.016034,HH,15,0,0,1,0,0,0
785,2,2023-05-01,100.191106,100.664097,100.492024,99.954023,,6,0,0,0,0,0,0
1738,1,2023-05-01,100.614525,101.108162,100.271719,100.071133,,201,1,0,1,0,0,0
510,3,2023-05-02,98.847206,98.029297,99.404519,100.133011,,258,1,0,0,0,0,0
1563,2,2023-05-02,100.068359,100.570549,100.417273,99.961458,,78,0,0,0,0,0,1
965,4,2023-05-02,100.328044,99.99334,99.893063,99.942079,,213,1,0,0,0,0,0
1137,6,2023-05-02,99.415394,98.5737,99.63726,99.853781,,183,0,1,0,1,0,0
137,5,2023-05-03,100.33559,98.992269,100.373627,99.981394,LL,6,0,0,0,0,0,0
917,4,2023-05-03,100.400123,100.092116,99.896711,99.935531,,116,0,0,0,0,1,0
1597,6,2023-05-03,100.001859,99.073897,99.995635,99.993162,,13,0,0,0,1,0,0
326,2,2023-05-03,99.890002,100.394828,100.382817,99.981394,,6,0,0,0,0,0,0
1883,3,2023-05-03,99.441628,98.31719,99.015585,99.897894,,2,0,0,0,0,0,0
212,1,2023-05-04,100.113751,100.862827,99.970109,99.954208,,104,0,0,0,0,1,0
1242,5,2023-05-04,100.247176,98.964103,100.44928,100.050398,,10,0,0,0,0,0,0
1816,4,2023-05-04,100.560169,100.266916,99.650644,99.810976,,6,0,0,0,0,0,0
849,6,2023-05-04,100.409192,99.500877,100.239929,100.109543,,175,0,1,0,0,0,0
12,4,2023-05-05,100.600783,100.374044,99.505543,99.713184,,6,0,0,0,0,0,0
1123,6,2023-05-05,100.763278,99.951537,100.166284,100.096232,LH,101,0,0,0,0,0,1
1337,1,2023-05-05,99.794187,100.562596,99.900688,99.919669,,6,0,0,0,0,0,0
727,3,2023-05-05,100.972577,99.423156,98.440468,99.416807,,224,1,0,0,0,0,0
1259,2,2023-05-05,99.905021,100.352966,100.606377,100.158948,,109,0,1,0,0,0,0
489,1,2023-05-08,99.565483,100.296195,99.938035,99.929745,,7,0,0,0,0,0,0
1077,3,2023-05-08,100.890257,99.495253,98.556046,99.338562,,783,0,1,0,0,4,0
1361,5,2023-05-08,100.567804,99.417706,100.819213,100.317953,,4,0,0,0,0,0,0
882,5,2023-05-09,100.933321,99.908579,101.128159,100.536688,,121,0,1,0,0,0,0
1224,2,2023-05-09,99.79653,100.199772,101.146726,100.536688,,121,0,1,0,0,0,0
1679,6,2023-05-09,100.939935,100.464065,99.501092,99.790855,,9,0,0,0,0,0,0
1453,1,2023-05-09,99.514296,100.166808,100.09652,100.000434,,120,0,1,0,0,0,0
1729,5,2023-05-10,101.186788,100.353934,101.007868,100.578066,,253,0,0,0,0,0,3
2,6,2023-05-10,100.724755,100.418177,99.405281,99.703539,,153,1,0,0,0,0,0
1460,2,2023-05-10,99.910826,100.280508,101.02494,100.578066,,253,0,0,0,0,0,3
1724,3,2023-05-10,100.909972,99.79515,98.935685,99.285748,,25,0,0,0,3,0,0
731,4,2023-05-10,100.415854,100.49333,99.762437,99.695431,,230,0,1,0,1,0,0
68,1,2023-05-10,99.414911,99.979999,100.245056,100.080119,,10,0,0,0,0,0,0
1217,4,2023-05-11,100.056429,100.279192,100.036933,99.8057,,178,0,1,0,0,0,0
390,2,2023-05-11,99.960362,100.315017,100.859777,100.588601,,397,1,0,2,0,0,0
938,3,2023-05-11,100.468051,99.585471,99.227902,99.333144,,287,0,1,0,2,0,0
866,6,2023-05-11,100.495263,100.315719,99.638814,99.763755,,289,0,1,0,0,2,0
1412,6,2023-05-12,100.288607,100.19338,99.908214,99.861057,,96,0,0,0,1,0,0
610,1,2023-05-12,99.658716,99.983864,100.255993,100.119925,,11,0,0,0,0,0,0
567,5,2023-05-12,101.482242,101.18329,100.60187,100.546966,,17,0,0,2,0,0,0
1110,3,2023-05-12,100.314566,99.5341,99.308029,99.305697,,28,0,0,0,2,0,0
911,2,2023-05-12,99.973007,100.320178,100.613896,100.546966,,17,0,0,2,0,0,0
264,1,2023-05-15,100.186811,100.450891,100.527555,100.271869,,127,0,1,0,0,0,0
1404,3,2023-05-15,100.443659,99.675869,99.412197,99.296437,,38,0,0,0,2,0,0
384,4,2023-05-15,99.443014,99.786786,100.251549,99.92981,,4,0,0,0,0,0,0
152,5,2023-05-15,101.452853,101.439384,100.346338,100.478258,,228,1,0,1,0,0,0
1497,6,2023-05-15,100.107363,100.058341,100.045698,99.919187,,130,0,1,0,0,0,0
1380,2,2023-05-15,99.99823,100.341006,100.355189,100.478258,,228,1,0,1,0,0,0
822,4,2023-05-16,99.386195,99.668312,100.177331,99.917252,,84,0,0,0,0,0,1
1448,2,2023-05-16,100.06223,100.407507,100.070262,100.375126,,16,0,0,1,0,0,0
421,1,2023-05-16,100.459426,100.759951,100.44294,100.278184,,201,1,0,0,0,0,1
459,5,2023-05-16,101.309174,101.5684,100.064909,100.375126,,16,0,0,1,0,0,0
870,6,2023-05-17,100.064893,100.045216,99.732305,99.781968,,172,1,0,0,0,0,1
13,2,2023-05-17,99.972297,100.324085,100.136305,100.412728,,19,0,0,1,0,0,0
975,1,2023-05-17,100.77883,101.167029,100.435626,100.313937,,7,0,0,0,0,0,0
588,4,2023-05-17,99.41296,99.604775,99.868615,99.787211,,126,1,0,0,0,0,0
1802,5,2023-05-17,102.051182,102.616462,100.130141,100.412728,,19,0,0,1,0,0,0
879,3,2023-05-17,100.193552,99.553567,99.999448,99.498592,,19,0,0,0,1,0,0
1518,6,2023-05-18,100.081665,100.076388,99.194186,99.505293,,109,1,0,0,0,0,0
1059,4,2023-05-18,99.469514,99.567185,99.682872,99.688965,,5,0,0,0,0,0,0
1411,5,2023-05-18,102.127216,103.101767,100.232176,100.473513,,17,0,0,1,0,0,0
973,3,2023-05-18,100.428403,99.758884,100.305093,99.643667,,192,0,1,0,0,0,0
1349,3,2023-05-19,100.403389,99.799583,100.457234,99.742688,,4,0,0,0,0,0,0
755,2,2023-05-19,99.751142,100.079191,100.229829,100.489964,,69,0,0,0,0,0,1
1854,5,2023-05-19,102.08188,103.472665,100.222517,100.489964,,69,0,0,0,0,0,1
924,1,2023-05-19,101.053399,101.789875,100.52563,100.446137,,60,0,0,0,0,0,1
1924,6,2023-05-19,99.994818,100.001425,98.997158,99.344147,,213,1,0,0,0,0,0
511,6,2023-05-22,99.957241,99.961826,98.974148,99.248355,,10,0,0,0,0,0,0
873,4,2023-05-22,99.93965,99.807056,99.722455,99.649106,,77,0,0,0,0,1,0
1537,4,2023-05-23,100.134883,99.945002,99.678344,99.605357,,6,0,0,0,0,0,0
996,5,2023-05-23,101.272113,103.322553,100.362845,100.600566,,13,0,0,0,0,0,0
1726,6,2023-05-23,99.930891,99.926877,99.107079,99.224069,LL,512,0,1,0,0,3,0
1823,1,2023-05-23,100.77609,101.866959,100.157917,100.341605,,21,0,0,1,0,0,0
185,6,2023-05-24,99.9308,99.914564,99.337027,99.256802,,255,0,0,0,2,0,0
1129,4,2023-05-24,100.19913,100.011511,99.820769,99.645934,,68,0,0,0,1,0,0
1114,1,2023-05-24,100.539723,101.77112,100.06891,100.313861,,20,0,0,1,0,0,0
101,3,2023-05-24,100.513068,100.062883,100.435572,99.856951,,7,0,0,0,0,0,0
71,4,2023-05-25,100.41262,100.198855,99.942,99.688748,,10,0,0,0,1,0,0
43,1,2023-05-25,100.253909,101.581332,99.766585,100.176967,,159,1,0,0,0,0,0
807,5,2023-05-25,100.321796,102.631859,100.488385,100.716981,,15,0,0,0,0,0,0
1021,2,2023-05-25,99.125135,99.050717,100.499001,100.716981,,15,0,0,0,0,0,0
1889,5,2023-05-26,100.521198,102.910847,100.86122,100.93837,,105,0,1,0,0,0,0
465,3,2023-05-26,100.719255,100.37034,100.305271,99.860813,,13,0,0,1,0,0,0
1865,1,2023-05-26,100.146547,101.520357,99.763694,100.156376,,7,0,0,0,0,0,0
304,6,2023-05-26,99.990777,99.959116,99.235539,99.104055,,33,0,0,0,2,0,0
7,1,2023-05-30,99.999328,101.39915,99.886338,100.195153,,88,0,0,0,0,1,0
858,2,2023-05-30,99.168617,98.755797,101.097101,101.118551,,134,0,1,0,0,0,0
932,4,2023-05-30,100.218422,100.158266,99.77735,99.600129,,9,0,0,0,0,0,0
117,4,2023-05-31,100.040733,100.054471,99.864508,99.623105,HL,55,0,0,0,1,1,0
1270,2,2023-05-31,99.260864,98.694173,101.058448,101.195264,,278,0,0,0,0,0,3
1187,3,2023-05-31,100.643821,100.508448,100.179325,99.847629,HL,17,0,0,1,0,0,0
1469,6,2023-05-31,100.256182,100.255588,99.117985,98.909372,,103,0,0,0,0,2,0
864,5,2023-06-01,100.380726,103.138982,101.087704,101.309449,,4,0,0,0,0,0,0
1413,1,2023-06-01,99.673536,101.015709,99.888712,100.186246,,12,0,0,0,1,0,0
1666,4,2023-06-01,100.112467,100.113822,99.731208,99.549439,,12,0,0,0,0,0,0
1851,3,2023-06-02,100.533593,100.601153,99.66793,99.609698,,6,0,0,0,0,0,0
227,1,2023-06-02,99.630572,100.913541,99.841068,100.154942,,6,0,0,0,0,0,0
483,4,2023-06-02,99.984258,100.032775,99.706461,99.515624,,9,0,0,0,0,0,0
802,5,2023-06-02,100.011278,102.813471,100.80339,101.268825,,361,1,0,2,0,0,0
1181,6,2023-06-05,100.607264,100.822668,99.90684,99.121301,HH,20,0,0,0,1,0,0
1028,3,2023-06-05,100.187901,100.411083,99.522173,99.513278,,5,0,0,0,0,0,0
1342,1,2023-06-06,99.75757,100.909097,100.024093,100.220119,,108,0,1,0,0,0,0
1646,3,2023-06-06,99.90281,100.21965,99.51177,99.468311,,7,0,0,0,0,0,0
1299,4,2023-06-06,99.891157,99.952681,99.759623,99.491751,,34,0,0,0,1,0,0
1095,6,2023-06-06,100.636072,100.971736,99.925851,99.123204,,23,0,0,0,1,0,0
1700,5,2023-06-06,99.704472,102.445578,100.317605,101.153541,,221,1,0,1,0,0,0
1571,2,2023-06-06,99.943034,99.061746,100.326099,101.153541,,221,1,0,1,0,0,0
130,1,2023-06-07,99.805663,100.914315,100.103505,100.260875,,6,0,0,0,0,0,0
1371,5,2023-06-07,99.601426,102.276926,100.244983,101.147354,,24,0,0,1,0,0,0
695,4,2023-06-07,99.708035,99.800387,99.863544,99.521089,,17,0,0,0,1,0,0
104,2,2023-06-07,100.057193,99.169119,100.252574,101.147354,,24,0,0,1,0,0,0
1698,3,2023-06-07,99.655896,100.018153,99.524969,99.433604,,63,0,0,0,0,1,0
640,6,2023-06-07,100.518168,100.970371,99.905449,99.108209,,21,0,0,0,1,0,0
1385,5,2023-06-08,99.540358,102.13357,100.23329,101.164056,,18,0,0,1,0,0,0
132,6,2023-06-08,100.420513,100.967741,99.722866,99.015262,,11,0,0,0,0,0,0
1513,1,2023-06-08,99.676446,100.749463,100.271338,100.350544,,9,0,0,0,0,0,0
1696,2,2023-06-09,100.227286,99.358607,99.801786,100.97739,,178,1,0,0,0,0,0
472,4,2023-06-09,99.357706,99.411301,100.361849,99.755746,,3,0,0,0,0,0,0
1247,3,2023-06-09,99.292192,99.617353,100.033136,99.610335,,123,0,1,0,0,0,0
1191,5,2023-06-09,99.050425,101.517469,99.799728,100.97739,,178,1,0,0,0,0,0
168,6,2023-06-09,100.260884,100.880212,99.824109,99.040065,,52,0,0,0,0,1,0
375,4,2023-06-12,99.407759,99.361438,100.657489,99.927629,,127,0,1,0,0,0,0
1787,3,2023-06-12,99.34964,99.563796,100.284669,99.73291,,7,0,0,0,0,0,0
1065,2,2023-06-12,100.521228,99.707696,99.223431,100.687403,,188,1,0,0,0,0,0
944,5,2023-06-12,98.324368,100.557613,99.228473,100.687403,,188,1,0,0,0,0,0
699,3,2023-06-13,99.646615,99.699872,100.514968,99.867221,,141,0,1,0,0,0,0
187,2,2023-06-13,100.63651,99.926965,98.654961,100.353327,,198,1,0,0,0,0,0
835,4,2023-06-13,99.586198,99.414127,100.95856,100.12785,,3,0,0,0,0,0,0
595,6,2023-06-13,99.727642,100.363247,100.773983,99.496908,,156,0,1,0,0,0,0
1540,6,2023-06-14,99.335743,99.89705,100.801689,99.577298,LL,2,0,0,0,0,0,0
1709,3,2023-06-14,100.154666,100.037468,100.762196,100.029556,HH,3,0,0,0,0,0,0
231,4,2023-06-14,99.611061,99.376465,101.3281,100.386964,,141,0,1,0,0,0,0
1377,5,2023-06-14,98.153001,99.650652,98.276837,100.053312,,206,1,0,0,0,0,0
1481,2,2023-06-14,100.630835,100.041833,98.259968,100.053312,,206,1,0,0,0,0,0
1523,5,2023-06-15,98.294187,99.446898,97.96035,99.755486,,216,1,0,0,0,0,0
1197,3,2023-06-15,100.249998,100.132066,100.874929,100.149686,,5,0,0,0,0,0,0
988,1,2023-06-15,98.812051,99.324762,101.023901,101.058402,,3,0,0,0,0,0,0
974,6,2023-06-15,99.001448,99.418636,100.927287,99.706348,,4,0,0,0,0,0,0
431,5,2023-06-16,98.936586,99.79504,98.251796,99.718867,,1006,0,1,0,0,5,0
794,6,2023-06-16,98.705009,98.918477,100.818322,99.735474,,168,0,0,0,0,0,2
1849,4,2023-06-16,99.705827,99.354508,101.303831,100.623101,HH,693,1,0,0,0,0,4
1199,3,2023-06-16,100.290336,100.198025,100.700945,100.143546,,163,0,0,0,0,0,2
1737,4,2023-06-20,99.679466,99.294891,101.112895,100.64605,,455,0,0,3,0,0,0
1769,2,2023-06-20,100.241539,99.95437,98.739501,99.805299,,843,0,1,0,3,0,0
682,6,2023-06-20,98.671708,98.639119,100.392101,99.605215,,251,1,0,1,0,0,0
1307,5,2023-06-20,99.576456,100.264425,98.750484,99.805299,,843,0,1,0,3,0,0
1529,3,2023-06-20,100.259188,100.215058,100.506813,100.112821,,185,0,0,2,0,0,0
136,2,2023-06-21,100.161709,99.916128,99.21427,99.920637,,359,0,1,0,2,0,0
225,5,2023-06-21,99.342971,99.937151,99.219424,99.920637,,359,0,1,0,2,0,0
382,6,2023-06-21,98.838289,98.562187,100.221145,99.559081,,9,0,0,1,0,0,0
463,3,2023-06-21,100.031259,100.077535,100.156103,99.991028,,177,1,0,1,0,0,0
1628,4,2023-06-21,99.605359,99.196156,100.927988,100.655314,,294,1,0,2,0,0,0
586,2,2023-06-22,100.104501,99.886404,99.836725,100.14561,,351,0,1,0,1,0,0
1569,4,2023-06-22,99.881493,99.348237,100.178337,100.379016,,296,1,0,1,0,0,0
865,5,2023-06-22,99.130873,99.588787,99.834238,100.14561,,351,0,1,0,1,0,0
968,3,2023-06-22,99.764124,99.878713,99.556011,99.720922,,186,1,0,0,0,0,0
1099,1,2023-06-22,99.274072,98.885726,100.156014,100.867518,,14,0,0,1,0,0,0
156,5,2023-06-23,98.810773,99.088013,100.222969,100.316818,,328,0,1,0,0,0,0
312,6,2023-06-23,99.22114,98.569176,100.363662,99.673905,,15,0,0,1,0,0,0
484,1,2023-06-23,99.656639,99.134605,99.87562,100.747932,,198,1,0,0,0,0,0
520,3,2023-06-23,99.709976,99.805393,99.249956,99.538982,,204,1,0,0,0,0,0
1728,2,2023-06-26,100.080154,99.894985,100.327626,100.38277,,3,0,0,0,0,0,0
773,5,2023-06-26,98.10304,98.124795,100.319114,100.38277,,3,0,0,0,0,0,0
65,4,2023-06-26,100.208271,99.591415,99.672505,100.129613,HL,2,0,0,0,0,0,0
318,1,2023-06-26,100.001956,99.416133,99.624704,100.618216,,4,0,0,0,0,0,0
584,3,2023-06-26,99.684294,99.746284,99.13314,99.420424,,2,0,0,0,0,0,0
1369,6,2023-06-26,99.324278,98.530193,100.333178,99.69168,,47,0,0,0,0,0,1
134,3,2023-06-27,99.688858,99.706645,99.171792,99.36528,,222,0,0,0,0,2,0
436,6,2023-06-27,99.454435,98.538788,100.411688,99.758358,,11,0,0,0,0,0,0
184,2,2023-06-27,100.110795,99.941831,100.150523,100.328069,,143,0,0,0,0,0,1
118,5,2023-06-28,97.656958,96.830503,99.989817,100.268048,,170,1,0,0,0,0,0
1620,1,2023-06-28,100.473264,99.927121,99.276181,100.368912,,3,0,0,0,0,0,0
1115,4,2023-06-28,100.157252,99.606734,99.557843,100.01703,,4,0,0,0,0,0,0
1920,2,2023-06-28,100.224682,100.081869,99.994236,100.268048,,170,1,0,0,0,0,0
714,1,2023-06-29,100.412635,99.953673,99.151194,100.247746,,5,0,0,0,0,0,0
1067,3,2023-06-29,99.613319,99.579551,99.805264,99.539136,,197,0,1,0,1,0,0
1712,6,2023-06-29,100.026769,98.938658,100.539062,99.885458,,114,0,1,0,0,0,0
1715,5,2023-06-29,97.476261,96.212555,99.492157,100.031517,,192,1,0,0,0,0,0
339,2,2023-06-29,100.426839,100.336583,99.490392,100.031517,,192,1,0,0,0,0,0
708,5,2023-06-30,97.841354,96.11797,99.16081,99.831509,,6,0,0,0,0,0,0
1717,2,2023-07-03,100.787554,100.923941,99.009052,99.692023,,9,0,0,0,0,0,0
1201,5,2023-07-03,98.649965,96.539314,99.016725,99.692023,,9,0,0,0,0,0,0
309,3,2023-07-05,99.760499,99.563385,100.351278,99.802627,,6,0,0,0,0,0,0
321,6,2023-07-05,101.281001,100.582075,100.475214,100.007449,,202,1,0,1,0,0,0
1589,1,2023-07-05,100.603243,100.396299,99.561146,100.266418,,176,0,1,0,1,0,0
322,4,2023-07-05,99.851159,99.426723,100.089919,100.227062,,9,0,0,0,0,0,0
1172,2,2023-07-05,100.76853,101.054906,99.120673,99.660567,,182,0,0,0,0,2,0
210,3,2023-07-06,99.652805,99.449181,100.374042,99.844557,HL,7,0,0,0,0,0,0
1079,6,2023-07-06,101.216655,100.761914,100.252616,99.943806,,13,0,0,1,0,0,0
1552,5,2023-07-06,100.107121,97.659172,99.446533,99.737495,,184,0,0,0,2,0,0
664,2,2023-07-07,100.389735,100.921396,99.736634,99.827434,,184,0,1,0,1,0,0
251,1,2023-07-07,100.31088,100.322482,99.72705,100.287914,,15,0,0,0,1,0,0
997,4,2023-07-07,99.609442,99.211348,100.139071,100.259951,,96,0,1,0,0,1,0
1480,3,2023-07-07,99.780771,99.498816,100.597946,99.983684,,150,0,1,0,0,0,0
625,4,2023-07-10,99.799368,99.299815,100.372205,100.383735,,12,0,0,0,0,0,0
676,1,2023-07-10,99.944474,100.012827,99.713336,100.258735,,18,0,0,0,1,0,0
1358,3,2023-07-10,99.796954,99.481379,100.736081,100.101643,,3,0,0,0,0,0,0
1120,5,2023-07-10,101.432033,99.234662,100.048845,99.953968,,187,0,1,0,0,0,0
302,2,2023-07-10,100.05583,100.642186,100.053999,99.953968,,187,0,1,0,0,0,0
1485,5,2023-07-11,101.690296,99.776728,100.264748,100.061433,,3,0,0,0,0,0,0
234,4,2023-07-11,99.977342,99.405188,100.359128,100.410662,,44,0,0,0,0,0,1
1752,2,2023-07-11,99.785852,100.367146,100.272585,100.061433,,3,0,0,0,0,0,0
1152,3,2023-07-11,99.937805,99.560659,100.857659,100.223804,,5,0,0,0,0,0,0
836,1,2023-07-11,99.610734,99.670178,99.918794,100.332566,,65,0,0,0,1,1,0
851,4,2023-07-12,100.318895,99.656854,100.179248,100.357052,,87,0,0,1,0,0,0
1189,5,2023-07-12,101.889079,100.308603,100.238838,100.072916,,98,0,0,0,0,0,1
250,1,2023-07-12,99.407613,99.398396,100.033744,100.381166,,148,0,1,0,0,0,0
125,6,2023-07-12,99.599532,99.529572,99.061088,99.25632,,4,0,0,0,0,0,0
39,5,2023-07-13,101.78131,100.557828,100.092169,100.024867,,4,0,0,0,0,0,0
1330,1,2023-07-13,99.379622,99.264693,99.946926,100.343706,,281,1,0,0,1,0,1
897,2,2023-07-13,99.529829,99.990274,100.09786,100.024867,,4,0,0,0,0,0,0
643,6,2023-07-13,99.488919,99.338056,99.116962,99.203207,,190,0,0,0,0,2,0
1843,4,2023-07-13,100.596899,99.908074,100.123748,100.347092,,20,0,0,1,0,0,0
646,2,2023-07-14,99.482372,99.850185,100.094955,100.032391,,89,0,0,1,0,0,0
1097,5,2023-07-14,101.491851,100.594637,100.089298,100.032391,LH,89,0,0,1,0,0,0
1335,6,2023-07-14,99.581983,99.339222,99.276629,99.203721,,208,0,0,0,2,0,0
149,3,2023-07-14,100.229165,99.777737,100.660738,100.375911,,734,1,0,2,0,0,3
1830,1,2023-07-14,99.651987,99.424204,100.098413,100.412128,HH,55,0,1,0,0,0,0
1534,4,2023-07-14,101.017359,100.304644,99.804587,100.206887,,97,1,0,0,0,0,0
